2017-07-20 12:02:39 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.029831 | 0.029859 | SELECT `member_info_id`, `open_id`, `member_mode`, `is_login` FROM `iwide_member_info` WHERE `inter_id` = 'a484619482' AND `open_id` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' AND `member_mode` = 2 AND `is_active` = 't' AND `is_login` = 't' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 12:02:39 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.038291 | 0.03832 | SELECT `member_info_id` FROM `iwide_member_info` WHERE `inter_id` = 'a484619482' AND `open_id` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' AND `member_mode` = 1 AND `is_active` = 't' AND `is_login` = 'f' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 12:02:39 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.012747 | 0.012773 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:02:39 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.01918 | 0.019209 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` = 1  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:02:39 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.012063 | 0.012089 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` =0  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:02:39 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.010954 | 0.010983 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:02:40 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.018637 | 0.018667 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:02:40 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.027441 | 0.027459 | SELECT `value` FROM `iwide_inter_member_config` WHERE `inter_id` = 'ALL_INTER_ID' AND `type_code` = 'member_auth_gift' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 12:02:40 | 8462 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.014131 | 0.014153 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:02:41 | 8462 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.009262 | 0.009304 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 14:46:36 | 8462 | /index.php | query | 36d603b42d13cde8872d2d48876d8f394d2ca9b9 | 0.014367 | 0.014395 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 14:46:36 | 8462 | /index.php | query | 36d603b42d13cde8872d2d48876d8f394d2ca9b9 | 0.010524 | 0.010552 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 14:47:47 | 8463 | /index.php | query | 36d603b42d13cde8872d2d48876d8f394d2ca9b9 | 0.010972 | 0.011001 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 14:47:47 | 8463 | /index.php | query | 36d603b42d13cde8872d2d48876d8f394d2ca9b9 | 0.013518 | 0.013544 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 14:48:36 | 8462 | /index.php | query | 36d603b42d13cde8872d2d48876d8f394d2ca9b9 | 0.00944 | 0.009467 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
