2017-07-19 11:09:03 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.009294 | 0.00932 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` =0  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:03 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.011521 | 0.01157 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:04 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.00972 | 0.009746 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:04 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.011229 | 0.011254 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:14 | 8462 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.011815 | 0.011844 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:14 | 8462 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.010919 | 0.010944 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:14 | 8462 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.012896 | 0.012924 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:38 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.011357 | 0.011381 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:38 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.013011 | 0.013037 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:38 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.012663 | 0.012687 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:39 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.011149 | 0.011177 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:33:21 | 8462 | /index.php | query | 7dfc2d2eb7c9e97d9ebb7483eb1b5f76fe6ea441 | 0.015219 | 0.015247 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:33:21 | 8462 | /index.php | query | 7dfc2d2eb7c9e97d9ebb7483eb1b5f76fe6ea441 | 0.012081 | 0.012107 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:33:23 | 8462 | /index.php | query | 7dfc2d2eb7c9e97d9ebb7483eb1b5f76fe6ea441 | 0.00991 | 0.009941 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:36:09 | 8463 | /index.php | query | 7dfc2d2eb7c9e97d9ebb7483eb1b5f76fe6ea441 | 0.010848 | 0.010874 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:36:09 | 8463 | /index.php | query | 7dfc2d2eb7c9e97d9ebb7483eb1b5f76fe6ea441 | 0.01044 | 0.010465 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:36:09 | 8463 | /index.php | query | 7dfc2d2eb7c9e97d9ebb7483eb1b5f76fe6ea441 | 0.011421 | 0.011446 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
